0.09018,0.99762
0.1002,0.9082
0.1503,0.88609
0.17034,0.879
0.18036,0.92545
0.2004,0.91866
0.24048,0.89503
0.3507,0.85624
0.36072,0.80612
0.4008,0.86252
0.41082,0.84466
0.49098,0.8296
0.52104,0.80457
0.6012,0.94715
0.73146,1.2166
0.77154,1.1358
0.83166,0.97569
0.87174,0.91684
0.92184,0.75462
0.9519,0.64507
1.0621,0.615
1.1122,0.55876
1.1423,0.60521
1.2024,0.59522
1.2725,0.56227
1.2826,0.55383
1.3026,0.48205
1.3427,0.52081
1.3928,0.47334
1.4128,0.47342
1.4228,0.47766
1.4329,0.49251
1.483,0.42644
1.6934,0.40279
1.7936,0.36682
1.8337,0.39965
1.8637,0.40445
1.8737,0.36669
1.9038,0.37811
1.9238,0.43051
1.9539,0.41968
2.014,0.35076
2.024,0.38364
2.0842,0.36786
2.1543,0.37196
2.1643,0.34362
2.1844,0.2877
2.2244,0.27982
2.2846,0.34331
2.3146,0.29346
2.4048,0.28235
2.4349,0.34788
2.4749,0.35441
2.5852,0.37204
2.6453,0.52161
2.7355,0.63037
2.7655,0.60162
2.7956,0.61325
2.9659,0.40045
2.986,0.36639
3.006,0.35667
3.1363,0.22048
3.1463,0.2845
3.2565,0.22864
3.2866,0.21947
3.3567,0.18599
3.4669,0.13753
3.5271,0.20311
3.5471,0.16218
3.6072,0.13883
3.6473,0.18773
3.6673,0.11686
3.6874,0.17285
3.7876,0.16454
3.8477,0.17073
3.8577,0.10852
3.9679,0.12623
3.988,0.17055
4.0281,0.1095
4.0581,0.10548
4.0882,0.16988
4.1483,0.10808
4.2184,0.16672
4.2285,0.097673
4.2385,0.091547
4.2485,0.085341
4.2585,0.16428
4.3487,0.10891
4.4188,0.14237
4.4689,0.1041
4.509,0.14292
4.5291,0.083692
4.5792,0.079505
4.5892,0.12175
4.6393,0.057891
4.6894,0.0551
4.7295,0.12703
4.7495,0.13685
4.8898,0.048369
4.9699,0.051547
